FuncName,FetchState,StdDev,InstallWS,StdDev,ServeUnique,StdDev,Total,StdDev
helloworld,366385,NaN,0,NaN,12257,NaN,378642,NaN
helloworld,216751,NaN,0,NaN,6770,NaN,223521,NaN
helloworld,91436,NaN,0,NaN,12628,NaN,104064,NaN
helloworld,90858,NaN,0,NaN,6697,NaN,97555,NaN
helloworld,191357,130848.4,0,0.0,9588,3299.7,200945,131860.2
helloworld,309556,NaN,0,NaN,13808,NaN,323364,NaN
helloworld,205542,NaN,0,NaN,7148,NaN,212690,NaN
helloworld,93303,NaN,0,NaN,13465,NaN,106768,NaN
helloworld,103305,NaN,0,NaN,7165,NaN,110470,NaN
helloworld,177926,101354.9,0,0.0,10396,3743.9,188323,102538.0
helloworld,283401,NaN,0,NaN,13710,NaN,297111,NaN
helloworld,177851,NaN,0,NaN,6806,NaN,184657,NaN
helloworld,99778,NaN,0,NaN,12938,NaN,112716,NaN
helloworld,144650,NaN,0,NaN,7139,NaN,151789,NaN
helloworld,176420,78167.2,0,0.0,10148,3683.1,186568,79345.5
